X,Y,OBJECTID,EVT_RT,EVT_RIN,EVT_DATE,LOCATION,RUCR,RUCR_EXT_D
-63.58794187664143,44.718075186786614,1169,GO,881385,2017-09-24T00:00:00.000Z,GLORIA MCCLUSKEY AVE,1430,ASSAULT
-63.572475778227464,44.644770619469632,1170,GO,881357,2017-09-24T00:00:00.000Z,SALTER ST,1430,ASSAULT
-63.587588130862322,44.68379444469516,1171,GO,881343,2017-09-24T00:00:00.000Z,PINECREST DR,1420,ASSAULT
-63.680824370320821,44.771120409974991,1172,GO,881520,2017-09-24T00:00:00.000Z,RAYMOND DR,1430,ASSAULT
-63.612617007478136,44.601614525126365,1173,GO,881488,2017-09-24T00:00:00.000Z,GOLDFINCH WALK,1430,ASSAULT
-63.481306511932075,44.686813192037867,1174,GO,881425,2017-09-24T00:00:00.000Z,AUBURN DR,1610,ROBBERY
-63.598136065385127,44.64437776296154,1175,GO,881605,2017-09-24T00:00:00.000Z,PEPPERELL ST,2135,THEFT OF VEHICLE
-63.861860529904277,44.696030179755205,1176,GO,881628,2017-09-24T00:00:00.000Z,HUBLEY MILL LAKE RD,2120,BREAK AND ENTER
-63.58467610801987,44.649522401443804,1177,GO,881432,2017-09-24T00:00:00.000Z,RAINNIE DR / COGSWELL ST,2135,THEFT OF VEHICLE
-63.588071243025489,44.694095395200627,1178,GO,881428,2017-09-24T00:00:00.000Z,MACDONALD AVE,2142,THEFT FROM VEHICLE
-63.587648431174074,44.68680687242319,1179,GO,881427,2017-09-24T00:00:00.000Z,JOSEPH YOUNG ST,2142,THEFT FROM VEHICLE
-63.617382982387099,44.795157132645599,1180,GO,881799,2017-09-24T00:00:00.000Z,CANTERBURY LANE,2142,THEFT FROM VEHICLE
-63.70242961377695,44.782046957986175,1181,GO,881470,2017-09-24T00:00:00.000Z,SACKVILLE DR,1430,ASSAULT
-63.68204285774862,44.765200177016844,1182,GO,881409,2017-09-24T00:00:00.000Z,SEAWOOD AVE,1430,ASSAULT
-63.693753822205153,44.772103099807495,1183,GO,881368,2017-09-24T00:00:00.000Z,SACKVILLE DR,1430,ASSAULT
-63.656036439830515,44.662422632017389,1184,GO,881455,2017-09-24T00:00:00.000Z,LACEWOOD DR,2142,THEFT FROM VEHICLE
-63.547036945550282,44.677642020446314,1185,GO,881640,2017-09-25T00:00:00.000Z,REGENT DR,1420,ASSAULT
-63.717165291135053,44.713101592456177,1186,GO,881806,2017-09-25T00:00:00.000Z,BLUEWATER RD,2142,THEFT FROM VEHICLE
-63.639957474797129,44.661157544137332,1187,GO,881731,2017-09-25T00:00:00.000Z,GLENFOREST DR,1430,ASSAULT
-63.528414593029375,44.690786174637658,1188,GO,881692,2017-09-25T00:00:00.000Z,KENNEDY DR,1430,ASSAULT
-63.616013392938633,44.797973720667102,1189,GO,881609,2017-09-25T00:00:00.000Z,CANTERBURY LANE,2120,BREAK AND ENTER
-63.656241091323601,44.838817237483013,1190,GO,881532,2017-09-25T00:00:00.000Z,KINSAC RD,1420,ASSAULT
-63.588417603754635,44.655455844293485,1191,GO,881858,2017-09-25T00:00:00.000Z,GOTTINGEN ST / UNIACKE ST,2142,THEFT FROM VEHICLE
